call_id,satisfaction_score,comment,feedback_delay_days
C00001,4,Everything was fine,1
C00002,5,Issue still persists,3
C00003,5,Would appreciate faster response next time,3
C00004,3,Issue still persists,2
C00005,3,Technician was very professional,1
C00006,5,Would appreciate faster response next time,14
C00007,4,Would appreciate faster response next time,3
C00008,4,Resolved the issue quickly,0
C00009,3,Issue still persists,5
C00010,4,Great Service.,1
C00011,5,Everything was fine,2
C00012,5,Issue still persists,2
C00013,3,Great Service.,5
C00014,4,Issue still persists,1
C00015,3,Technician was very professional,2
C00016,1,Quick and efficient,3
C00017,5,Quick and efficient,14
C00018,5,Technician was very professional,3
C00019,5,Communication could be better,1
C00020,5,Great Service.,7
C00021,2,Technician was very professional,2
C00022,3,Resolved the issue quickly,0
C00023,5,Technician was very professional,7
C00024,3,Technician was very professional,7
C00025,2,,5
C00026,4,Quick and efficient,7
C00027,4,Great Service.,14
C00028,5,Quick and efficient,7
C00029,4,Resolved the issue quickly,5
C00030,4,Great Service.,14
C00031,4,Resolved the issue quickly,5
C00032,3,Technician was very professional,2
C00033,5,Everything was fine,5
C00034,4,Quick and efficient,2
C00035,5,Communication could be better,2
C00036,4,Issue still persists,2
C00037,3,,14
C00038,3,Technician was very professional,3
C00039,5,Took longer than expected.,2
C00040,2,Would appreciate faster response next time,7
C00041,4,Would appreciate faster response next time,7
C00042,4,Quick and efficient,14
C00043,2,Communication could be better,14
C00044,1,Took longer than expected.,5
C00045,5,Took longer than expected.,7
C00046,4,Took longer than expected.,2
C00047,3,Quick and efficient,3
C00048,3,Technician was very professional,0
C00049,3,Great Service.,1
C00050,3,Quick and efficient,3
C00051,3,Communication could be better,5
C00052,4,Communication could be better,14
C00053,5,Everything was fine,5
C00054,4,Would appreciate faster response next time,1
C00055,5,Resolved the issue quickly,2
C00056,4,,0
C00057,3,Took longer than expected.,5
C00058,4,Everything was fine,2
C00059,5,Everything was fine,3
C00060,5,Everything was fine,1
C00061,4,Great Service.,2
C00062,3,Resolved the issue quickly,5
C00063,4,Took longer than expected.,7
C00064,2,Issue still persists,1
C00065,4,Quick and efficient,3
C00066,2,Took longer than expected.,0
C00067,5,Communication could be better,14
C00068,5,Issue still persists,1
C00069,3,Resolved the issue quickly,1
C00070,4,Everything was fine,3
C00071,5,,2
C00072,3,Great Service.,14
C00073,2,,7
C00074,5,Technician was very professional,3
C00075,5,Great Service.,3
C00076,5,Technician was very professional,5
C00077,5,Would appreciate faster response next time,0
C00078,5,Communication could be better,5
C00079,4,Technician was very professional,5
C00080,3,Issue still persists,1
C00081,1,Communication could be better,14
C00082,5,Issue still persists,5
C00083,5,Everything was fine,2
C00084,4,,2
C00085,2,Quick and efficient,7
C00086,4,Great Service.,14
C00087,5,Communication could be better,3
C00088,3,Technician was very professional,1
C00089,3,Would appreciate faster response next time,2
C00090,5,Took longer than expected.,5
C00091,5,Technician was very professional,0
C00092,4,Communication could be better,3
C00093,3,Resolved the issue quickly,2
C00094,4,Everything was fine,0
C00095,3,Issue still persists,5
C00096,5,Communication could be better,14
C00097,4,Technician was very professional,14
C00098,3,Everything was fine,1
C00099,2,Resolved the issue quickly,2
C00100,4,Communication could be better,2
C00101,1,Everything was fine,5
C00102,1,,2
C00103,4,,3
C00104,5,Great Service.,1
C00105,1,Communication could be better,7
C00106,5,Everything was fine,14
C00107,1,Technician was very professional,14
C00108,4,Quick and efficient,2
C00109,4,Took longer than expected.,2
C00110,5,,2
C00111,3,Quick and efficient,2
C00112,5,Would appreciate faster response next time,5
C00113,3,Resolved the issue quickly,2
C00114,4,,0
C00115,2,Would appreciate faster response next time,2
C00116,3,Everything was fine,14
C00117,4,Everything was fine,0
C00118,2,Resolved the issue quickly,3
C00119,5,Would appreciate faster response next time,2
C00120,5,Took longer than expected.,14
C00121,5,Resolved the issue quickly,1
C00122,5,Technician was very professional,14
C00123,5,,7
C00124,5,Quick and efficient,5
C00125,2,Issue still persists,1
C00126,4,Quick and efficient,7
C00127,4,,1
C00128,5,Quick and efficient,1
C00129,4,Took longer than expected.,7
C00130,5,Issue still persists,3
C00131,4,Technician was very professional,1
C00132,5,,14
C00133,3,Issue still persists,7
C00134,5,Everything was fine,1
C00135,4,Took longer than expected.,14
C00136,5,Took longer than expected.,3
C00137,3,Resolved the issue quickly,7
C00138,5,Quick and efficient,5
C00139,5,Everything was fine,5
C00140,5,Would appreciate faster response next time,3
C00141,5,Would appreciate faster response next time,1
C00142,5,Quick and efficient,1
C00143,3,Would appreciate faster response next time,7
C00144,5,Great Service.,0
C00145,5,Everything was fine,0
C00146,4,Quick and efficient,7
C00147,1,Issue still persists,0
C00148,4,Technician was very professional,3
C00149,5,Everything was fine,1
C00150,5,Quick and efficient,14
C00151,4,Great Service.,5
C00152,5,Issue still persists,14
C00153,5,Great Service.,2
C00154,3,Communication could be better,7
C00155,3,,2
C00156,3,,0
C00157,4,Would appreciate faster response next time,0
C00158,2,Everything was fine,7
C00159,5,Issue still persists,1
C00160,5,Technician was very professional,2
C00161,3,,5
C00162,2,Quick and efficient,5
C00163,3,Technician was very professional,2
C00164,5,,7
C00165,3,,3
C00166,3,Communication could be better,0
C00167,5,Issue still persists,5
C00168,5,,5
C00169,4,Resolved the issue quickly,14
C00170,3,,5
C00171,2,Great Service.,3
C00172,3,Everything was fine,1
C00173,4,Issue still persists,1
C00174,5,Great Service.,7
C00175,5,Communication could be better,3
C00176,4,,5
C00177,5,,1
C00178,4,Great Service.,0
C00179,2,Took longer than expected.,2
C00180,4,Took longer than expected.,3
C00181,2,Issue still persists,7
C00182,4,Communication could be better,5
C00183,3,Great Service.,3
C00184,4,,5
C00185,5,Communication could be better,14
C00186,1,Quick and efficient,7
C00187,5,Great Service.,3
C00188,3,Everything was fine,1
C00189,2,Great Service.,5
C00190,5,Communication could be better,2
C00191,4,Great Service.,0
C00192,3,,7
C00193,5,Would appreciate faster response next time,3
C00194,5,Communication could be better,0
C00195,3,Quick and efficient,14
C00196,1,Issue still persists,3
C00197,2,Quick and efficient,3
C00198,5,Would appreciate faster response next time,7
C00199,3,Everything was fine,2
C00200,3,,5
C00201,4,Resolved the issue quickly,0
C00202,3,,0
C00203,4,,0
C00204,5,Technician was very professional,1
C00205,4,,5
C00206,5,Great Service.,14
C00207,5,Resolved the issue quickly,1
C00208,4,Great Service.,0
C00209,4,Resolved the issue quickly,2
C00210,5,Resolved the issue quickly,7
C00211,2,Took longer than expected.,1
C00212,2,Technician was very professional,2
C00213,5,Took longer than expected.,2
C00214,5,Technician was very professional,14
C00215,5,Technician was very professional,0
C00216,5,Resolved the issue quickly,5
C00217,5,Would appreciate faster response next time,14
C00218,5,Quick and efficient,5
C00219,5,Great Service.,2
C00220,5,Everything was fine,5
C00221,5,Resolved the issue quickly,14
C00222,5,Technician was very professional,5
C00223,4,Great Service.,3
C00224,3,Took longer than expected.,3
C00225,2,,14
C00226,4,Technician was very professional,5
C00227,4,Technician was very professional,3
C00228,2,Everything was fine,1
C00229,4,,0
C00230,4,Resolved the issue quickly,5
C00231,4,Would appreciate faster response next time,14
C00232,4,Quick and efficient,0
C00233,2,Technician was very professional,2
C00234,4,Took longer than expected.,5
C00235,5,Quick and efficient,3
C00236,3,Everything was fine,5
C00237,2,Everything was fine,5
C00238,2,Everything was fine,5
C00239,4,,3
C00240,5,Issue still persists,7
C00241,4,Quick and efficient,0
C00242,3,Everything was fine,7
C00243,3,Would appreciate faster response next time,0
C00244,4,Quick and efficient,5
C00245,2,,2
C00246,3,Communication could be better,7
C00247,4,Quick and efficient,0
C00248,4,Communication could be better,14
C00249,5,Technician was very professional,1
C00250,5,Quick and efficient,0
C00251,4,Great Service.,7
C00252,1,Technician was very professional,5
C00253,3,Took longer than expected.,3
C00254,4,Issue still persists,2
C00255,2,Technician was very professional,2
C00256,5,,14
C00257,3,Everything was fine,14
C00258,1,Issue still persists,7
C00259,4,Took longer than expected.,0
C00260,1,Resolved the issue quickly,2
C00261,5,Everything was fine,14
C00262,4,Resolved the issue quickly,0
C00263,3,,0
C00264,4,Issue still persists,7
C00265,3,Quick and efficient,14
C00266,5,Issue still persists,7
C00267,2,Issue still persists,3
C00268,5,Technician was very professional,7
C00269,2,Took longer than expected.,7
C00270,5,Resolved the issue quickly,3
C00271,3,,0
C00272,5,Technician was very professional,14
C00273,5,Technician was very professional,1
C00274,4,Would appreciate faster response next time,5
C00275,5,Communication could be better,3
C00276,2,Great Service.,0
C00277,3,Took longer than expected.,2
C00278,5,Issue still persists,14
C00279,5,Technician was very professional,2
C00280,3,,3
C00281,5,Issue still persists,0
C00282,4,Issue still persists,2
C00283,5,Quick and efficient,1
C00284,4,Took longer than expected.,7
C00285,5,Quick and efficient,3
C00286,4,Issue still persists,7
C00287,1,Everything was fine,1
C00288,5,Technician was very professional,1
C00289,5,Took longer than expected.,7
C00290,5,Great Service.,5
C00291,3,Resolved the issue quickly,1
C00292,4,Technician was very professional,1
C00293,5,,1
C00294,5,Issue still persists,5
C00295,4,Technician was very professional,5
C00296,5,Great Service.,7
C00297,5,Issue still persists,7
C00298,3,Great Service.,3
C00299,2,Technician was very professional,7
C00300,5,Great Service.,5
C00301,2,Took longer than expected.,14
C00302,4,Everything was fine,14
C00303,5,Everything was fine,3
C00304,5,Everything was fine,2
C00305,5,Communication could be better,3
C00306,5,Issue still persists,14
C00307,3,Great Service.,0
C00308,2,Quick and efficient,0
C00309,4,Everything was fine,7
C00310,1,Resolved the issue quickly,5
C00311,2,Communication could be better,3
C00312,4,Would appreciate faster response next time,5
C00313,4,Took longer than expected.,1
C00314,5,Great Service.,5
C00315,3,Took longer than expected.,3
C00316,5,Technician was very professional,5
C00317,4,Took longer than expected.,14
C00318,4,Technician was very professional,7
C00319,5,,5
C00320,5,Issue still persists,3
C00321,4,Communication could be better,5
C00322,2,Would appreciate faster response next time,1
C00323,4,Took longer than expected.,7
C00324,5,Technician was very professional,5
C00325,5,Quick and efficient,2
C00326,5,Everything was fine,3
C00327,5,Resolved the issue quickly,7
C00328,5,Took longer than expected.,14
C00329,4,Great Service.,1
C00330,5,Quick and efficient,14
C00331,1,Would appreciate faster response next time,0
C00332,3,Issue still persists,1
C00333,2,Took longer than expected.,3
C00334,5,Everything was fine,2
C00335,4,Quick and efficient,3
C00336,5,Communication could be better,5
C00337,4,,5
C00338,4,Everything was fine,2
C00339,4,Communication could be better,3
C00340,5,Took longer than expected.,3
C00341,3,Quick and efficient,7
C00342,2,Technician was very professional,7
C00343,5,Everything was fine,2
C00344,3,Would appreciate faster response next time,2
C00345,4,Resolved the issue quickly,14
C00346,3,Issue still persists,0
C00347,5,Resolved the issue quickly,3
C00348,4,Took longer than expected.,1
C00349,5,Issue still persists,0
C00350,2,Resolved the issue quickly,1
C00351,5,Quick and efficient,14
C00352,4,Would appreciate faster response next time,7
C00353,4,Resolved the issue quickly,5
C00354,3,Would appreciate faster response next time,0
C00355,5,Took longer than expected.,5
C00356,3,Took longer than expected.,7
C00357,4,Would appreciate faster response next time,2
C00358,4,Quick and efficient,7
C00359,3,Technician was very professional,2
C00360,4,Resolved the issue quickly,2
C00361,5,Communication could be better,3
C00362,4,Everything was fine,5
C00363,4,Took longer than expected.,0
C00364,5,,7
C00365,3,Great Service.,1
C00366,4,Quick and efficient,1
C00367,4,Communication could be better,1
C00368,5,Quick and efficient,3
C00369,3,Technician was very professional,7
C00370,5,,3
C00371,3,Great Service.,7
C00372,5,Technician was very professional,3
C00373,4,,0
C00374,4,Quick and efficient,5
C00375,4,Quick and efficient,0
C00376,4,Resolved the issue quickly,5
C00377,1,,3
C00378,4,Technician was very professional,2
C00379,4,Resolved the issue quickly,14
C00380,4,Took longer than expected.,3
C00381,5,,3
C00382,5,Communication could be better,14
C00383,5,Resolved the issue quickly,1
C00384,5,Quick and efficient,3
C00385,3,Technician was very professional,1
C00386,5,Resolved the issue quickly,2
C00387,3,Issue still persists,14
C00388,4,Took longer than expected.,3
C00389,5,Would appreciate faster response next time,2
C00390,4,Took longer than expected.,5
C00391,5,Quick and efficient,0
C00392,4,,0
C00393,5,Took longer than expected.,7
C00394,4,Resolved the issue quickly,0
C00395,3,Great Service.,1
C00396,2,,3
C00397,3,Communication could be better,2
C00398,3,,0
C00399,3,Quick and efficient,5
C00400,4,Took longer than expected.,1
C00401,5,Took longer than expected.,14
C00402,5,Quick and efficient,1
C00403,5,Resolved the issue quickly,7
C00404,4,Issue still persists,3
C00405,4,Technician was very professional,0
C00406,5,Took longer than expected.,14
C00407,3,Took longer than expected.,1
C00408,4,Communication could be better,1
C00409,4,Took longer than expected.,5
C00410,2,Technician was very professional,5
C00411,3,Quick and efficient,2
C00412,4,,5
C00413,3,Technician was very professional,14
C00414,5,Communication could be better,3
C00415,3,Resolved the issue quickly,14
C00416,5,Resolved the issue quickly,1
C00417,1,Issue still persists,1
C00418,4,,5
C00419,4,Resolved the issue quickly,3
C00420,2,Technician was very professional,1
C00421,4,Technician was very professional,5
C00422,5,Resolved the issue quickly,7
C00423,5,Would appreciate faster response next time,2
C00424,5,Quick and efficient,7
C00425,5,Took longer than expected.,2
C00426,5,Great Service.,0
C00427,5,Everything was fine,2
C00428,5,Quick and efficient,1
C00429,4,Great Service.,7
C00430,3,Quick and efficient,2
C00431,4,Quick and efficient,7
C00432,5,Would appreciate faster response next time,2
C00433,5,Issue still persists,2
C00434,4,,5
C00435,3,,1
C00436,5,Great Service.,14
C00437,1,Everything was fine,5
C00438,4,Technician was very professional,3
C00439,5,Resolved the issue quickly,1
C00440,4,Resolved the issue quickly,14
C00441,5,Would appreciate faster response next time,1
C00442,4,Technician was very professional,5
C00443,3,Great Service.,5
C00444,2,Quick and efficient,2
C00445,5,,14
C00446,5,Everything was fine,14
C00447,5,Communication could be better,7
C00448,5,Took longer than expected.,2
C00449,2,Everything was fine,7
C00450,5,Communication could be better,2
C00451,3,,14
C00452,4,Technician was very professional,3
C00453,5,Issue still persists,14
C00454,2,Communication could be better,2
C00455,2,Communication could be better,2
C00456,4,Issue still persists,1
C00457,5,Communication could be better,2
C00458,3,Issue still persists,5
C00459,5,Great Service.,1
C00460,4,Took longer than expected.,14
C00461,3,Issue still persists,0
C00462,3,Issue still persists,14
C00463,4,Resolved the issue quickly,5
C00464,2,,7
C00465,3,Took longer than expected.,3
C00466,5,Resolved the issue quickly,14
C00467,5,Everything was fine,2
C00468,5,Great Service.,14
C00469,5,Resolved the issue quickly,2
C00470,5,Technician was very professional,3
C00471,4,Great Service.,5
C00472,5,,14
C00473,4,Resolved the issue quickly,0
C00474,4,Technician was very professional,0
C00475,2,Everything was fine,1
C00476,1,Would appreciate faster response next time,2
C00477,5,Issue still persists,1
C00478,4,Would appreciate faster response next time,5
C00479,4,Issue still persists,1
C00480,5,Everything was fine,14
C00481,3,Communication could be better,0
C00482,2,Issue still persists,3
C00483,4,Everything was fine,5
C00484,4,Resolved the issue quickly,3
C00485,4,Resolved the issue quickly,0
C00486,4,Great Service.,5
C00487,5,Would appreciate faster response next time,7
C00488,2,Quick and efficient,1
C00489,4,Took longer than expected.,7
C00490,4,Technician was very professional,7
C00491,4,Technician was very professional,5
C00492,3,Quick and efficient,5
C00493,3,Resolved the issue quickly,3
C00494,5,Issue still persists,5
C00495,5,,2
C00496,5,Everything was fine,7
C00497,5,Would appreciate faster response next time,7
C00498,5,,1
C00499,4,Took longer than expected.,5
C00500,4,Took longer than expected.,1
C00501,5,Resolved the issue quickly,1
C00502,3,Great Service.,3
C00503,2,Communication could be better,2
C00504,3,,3
C00505,3,Technician was very professional,1
C00506,3,Quick and efficient,0
C00507,3,Issue still persists,5
C00508,1,Communication could be better,1
C00509,4,Would appreciate faster response next time,2
C00510,5,Everything was fine,2
C00511,5,,1
C00512,5,Everything was fine,5
C00513,3,Would appreciate faster response next time,3
C00514,1,Everything was fine,1
C00515,5,Everything was fine,5
C00516,3,Issue still persists,2
C00517,2,Great Service.,7
C00518,3,Resolved the issue quickly,14
C00519,5,Technician was very professional,1
C00520,5,Took longer than expected.,5
C00521,4,Issue still persists,2
C00522,4,Issue still persists,2
C00523,4,Quick and efficient,5
C00524,3,,1
C00525,5,Resolved the issue quickly,2
C00526,5,,5
C00527,3,Technician was very professional,1
C00528,5,Took longer than expected.,5
C00529,2,Quick and efficient,5
C00530,3,Great Service.,1
C00531,1,Quick and efficient,3
C00532,2,Technician was very professional,1
C00533,4,Took longer than expected.,5
C00534,3,Everything was fine,2
C00535,3,Took longer than expected.,5
C00536,4,,1
C00537,4,Technician was very professional,0
C00538,5,Technician was very professional,2
C00539,3,Technician was very professional,3
C00540,4,Technician was very professional,0
C00541,4,Great Service.,2
C00542,3,Quick and efficient,7
C00543,3,Quick and efficient,5
C00544,3,Would appreciate faster response next time,14
C00545,4,Everything was fine,5
C00546,4,Great Service.,0
C00547,5,Issue still persists,14
C00548,4,Everything was fine,1
C00549,3,Issue still persists,7
C00550,4,Quick and efficient,14
C00551,4,Took longer than expected.,1
C00552,4,Quick and efficient,7
C00553,5,Resolved the issue quickly,14
C00554,4,Communication could be better,0
C00555,5,Technician was very professional,14
C00556,5,Issue still persists,5
C00557,3,Communication could be better,2
C00558,3,Communication could be better,7
C00559,4,Issue still persists,3
C00560,5,Issue still persists,2
C00561,5,Issue still persists,1
C00562,3,Took longer than expected.,5
C00563,5,Quick and efficient,2
C00564,5,Communication could be better,3
C00565,1,Technician was very professional,7
C00566,3,,3
C00567,2,Everything was fine,3
C00568,2,Quick and efficient,7
C00569,3,Issue still persists,0
C00570,5,Great Service.,3
C00571,5,Communication could be better,5
C00572,4,Great Service.,14
C00573,3,Took longer than expected.,3
C00574,2,Technician was very professional,14
C00575,4,Communication could be better,14
C00576,4,Quick and efficient,2
C00577,4,Communication could be better,5
C00578,3,Quick and efficient,7
C00579,5,Took longer than expected.,14
C00580,5,Issue still persists,14
C00581,4,Took longer than expected.,7
C00582,5,Resolved the issue quickly,1
C00583,3,Took longer than expected.,3
C00584,5,Took longer than expected.,3
C00585,4,Issue still persists,3
C00586,5,Communication could be better,3
C00587,1,Resolved the issue quickly,3
C00588,3,Technician was very professional,1
C00589,5,Issue still persists,5
C00590,1,Would appreciate faster response next time,3
C00591,4,Resolved the issue quickly,14
C00592,4,Would appreciate faster response next time,3
C00593,3,Would appreciate faster response next time,5
C00594,4,Communication could be better,3
C00595,3,Quick and efficient,5
C00596,4,Took longer than expected.,3
C00597,5,Technician was very professional,2
C00598,4,Quick and efficient,5
C00599,4,,1
C00600,4,Great Service.,1
C00601,4,Everything was fine,1
C00602,4,Great Service.,1
C00603,5,Everything was fine,7
C00604,3,Great Service.,7
C00605,5,Would appreciate faster response next time,1
C00606,4,Technician was very professional,14
C00607,5,Issue still persists,2
C00608,4,Took longer than expected.,3
C00609,5,Took longer than expected.,5
C00610,4,Took longer than expected.,0
C00611,4,Communication could be better,14
C00612,3,,7
C00613,5,Issue still persists,3
C00614,4,Technician was very professional,7
C00615,4,Quick and efficient,3
C00616,3,Communication could be better,5
C00617,4,Quick and efficient,14
C00618,4,Quick and efficient,1
C00619,5,Quick and efficient,7
C00620,4,Took longer than expected.,2
C00621,3,Issue still persists,1
C00622,2,Communication could be better,7
C00623,5,Took longer than expected.,0
C00624,5,Took longer than expected.,2
C00625,4,Everything was fine,2
C00626,3,Took longer than expected.,0
C00627,5,Issue still persists,2
C00628,4,Great Service.,3
C00629,4,Resolved the issue quickly,2
C00630,2,Issue still persists,1
C00631,4,Communication could be better,3
C00632,5,Everything was fine,5
C00633,4,Resolved the issue quickly,3
C00634,4,Communication could be better,7
C00635,4,Technician was very professional,5
C00636,3,Technician was very professional,0
C00637,5,Resolved the issue quickly,14
C00638,4,Technician was very professional,2
C00639,4,Technician was very professional,7
C00640,3,,7
C00641,4,Everything was fine,2
C00642,5,Issue still persists,14
C00643,5,Quick and efficient,0
C00644,5,Resolved the issue quickly,3
C00645,5,Quick and efficient,1
C00646,5,,14
C00647,4,,2
C00648,5,Would appreciate faster response next time,3
C00649,5,Communication could be better,7
C00650,3,Took longer than expected.,1
C00651,3,Technician was very professional,2
C00652,5,Everything was fine,5
C00653,5,,0
C00654,5,Issue still persists,0
C00655,5,Great Service.,1
C00656,4,Issue still persists,0
C00657,3,Resolved the issue quickly,14
C00658,1,Technician was very professional,1
C00659,5,Quick and efficient,2
C00660,2,Technician was very professional,0
C00661,5,,2
C00662,5,Quick and efficient,0
C00663,4,Quick and efficient,7
C00664,4,Took longer than expected.,7
C00665,3,Great Service.,3
C00666,5,,2
C00667,4,Would appreciate faster response next time,14
C00668,3,Quick and efficient,14
C00669,5,Issue still persists,14
C00670,3,Issue still persists,0
C00671,4,Great Service.,2
C00672,3,,1
C00673,5,Great Service.,2
C00674,2,Would appreciate faster response next time,3
C00675,2,Would appreciate faster response next time,7
C00676,4,Resolved the issue quickly,7
