machine_id,type,install_date,region,status
M001,Drill,2024-09-25,South,Inactive
M002,Grinder,2023-02-07,West,Inactive
M003,Press,2024-01-07,North,Active
M004,Packaging Unit,2022-10-28,West,Active
M005,Grinder,2023-06-05,West,Inactive
M006,Drill,2025-01-25,East,Active
M007,Grinder,2024-11-12,South,Inactive
M008,Drill,2024-12-21,West,Inactive
M009,Mixer,2022-08-25,West,Active
M010,Welder,2022-09-20,West,Inactive
M011,Furnace,2022-12-09,South,Active
M012,CNC-Machine,2025-07-08,West,Inactive
M013,Packaging Unit,2025-06-01,East,Active
M014,Lathe,2025-06-01,East,Active
M015,Welder,2025-01-09,North,Active
M016,Press,2025-05-06,East,Active
M017,3D Print,2025-01-16,East,Inactive
M018,Packaging Unit,2023-05-01,East,Active
M019,CNC-Machine,2024-08-23,South,Inactive
M020,Laser Cutter,2023-11-12,East,Active
M021,Drill,2025-06-16,West,Active
M022,Conveyor,2024-07-03,East,Inactive
M023,Packaging Unit,2025-03-14,South,Inactive
M024,Compressor,2024-05-09,East,Inactive
M025,Conveyor,2024-01-09,West,Active
M026,Press,2025-02-17,East,Active
M027,3D Print,2024-05-01,South,Active
M028,Packaging Unit,2023-01-03,West,Inactive
M029,Grinder,2025-04-13,West,Inactive
M030,Furnace,2023-08-20,North,Inactive
M031,3D Print,2023-08-10,North,Active
M032,Lathe,2023-09-08,West,Inactive
M033,Press,2025-06-26,West,Active
M034,CNC-Machine,2023-03-27,South,Active
M035,Welder,2024-07-25,West,Active
M036,Lathe,2023-07-02,South,Active
M037,Packaging Unit,2024-03-12,North,Inactive
M038,Press,2023-01-08,South,Active
M039,Grinder,2024-01-09,North,Active
M040,Compressor,2024-02-18,South,Active
M041,Lathe,2023-09-19,East,Active
M042,Conveyor,2023-05-27,West,Active
M043,Grinder,2022-11-21,South,Inactive
M044,Press,2024-12-12,North,Active
M045,Laser Cutter,2023-01-12,West,Active
M046,Grinder,2024-04-18,West,Inactive
M047,3D Print,2023-03-10,West,Active
M048,Compressor,2022-10-21,West,Inactive
M049,Drill,2023-12-09,South,Active
M050,Drill,2024-05-08,South,Inactive
M051,Welder,2025-01-29,South,Active
M052,Welder,2022-11-17,South,Active
M053,Packaging Unit,2022-08-09,West,Active
M054,Packaging Unit,2023-08-27,East,Inactive
M055,Conveyor,2023-05-09,South,Active
M056,Drill,2023-11-25,West,Active
M057,Grinder,2025-05-12,West,Active
M058,Packaging Unit,2023-07-27,East,Inactive
M059,Drill,2025-06-03,North,Inactive
M060,Conveyor,2025-03-07,South,Inactive
M061,Press,2025-04-23,West,Active
M062,Lathe,2022-12-22,West,Inactive
M063,CNC-Machine,2022-12-20,North,Inactive
M064,Pump,2022-10-12,South,Active
M065,Pump,2024-01-06,East,Inactive
M066,Compressor,2023-03-24,South,Active
M067,3D Print,2023-10-06,West,Inactive
M068,Drill,2025-06-26,South,Inactive
M069,3D Print,2025-07-08,North,Active
M070,Mixer,2023-02-17,North,Inactive
M071,Mixer,2023-10-28,North,Active
M072,Furnace,2024-11-24,West,Active
M073,Furnace,2024-01-06,South,Inactive
M074,Lathe,2024-12-02,North,Active
M075,3D Print,2023-02-23,North,Active
M076,Welder,2025-02-07,East,Active
M077,Conveyor,2022-08-05,South,Inactive
M078,CNC-Machine,2023-01-21,South,Active
M079,Mixer,2025-04-30,West,Active
M080,Press,2024-02-21,West,Active
M081,Lathe,2022-10-17,West,Inactive
M082,Furnace,2024-01-29,East,Active
M083,Welder,2023-08-23,East,Active
M084,Press,2024-07-06,South,Inactive
M085,3D Print,2022-12-07,South,Inactive
M086,Furnace,2023-08-29,West,Inactive
M087,Drill,2025-02-05,South,Active
M088,3D Print,2022-08-01,West,Inactive
M089,Lathe,2024-10-01,West,Active
M090,Grinder,2022-10-05,North,Active
M091,CNC-Machine,2023-09-09,East,Inactive
M092,Laser Cutter,2024-03-08,West,Active
M093,Press,2022-12-14,North,Active
M094,Furnace,2024-04-12,South,Inactive
M095,Grinder,2023-05-22,North,Inactive
M096,Grinder,2024-08-05,East,Inactive
M097,CNC-Machine,2025-05-03,West,Active
M098,3D Print,2022-11-11,South,Inactive
M099,Lathe,2024-05-18,East,Inactive
M100,Laser Cutter,2024-01-14,East,Active
M101,Drill,2023-01-03,South,Active
M102,Compressor,2023-08-30,East,Active
M103,Grinder,2023-10-12,South,Inactive
M104,Welder,2023-02-20,West,Active
M105,Mixer,2023-07-23,West,Inactive
M106,Laser Cutter,2023-11-07,East,Active
M107,Laser Cutter,2023-10-15,East,Inactive
M108,Pump,2024-10-27,North,Inactive
M109,Conveyor,2022-10-20,East,Inactive
M110,CNC-Machine,2022-08-05,North,Inactive
M111,Press,2024-01-26,South,Inactive
M112,Drill,2025-01-03,North,Inactive
M113,Welder,2024-01-24,West,Active
M114,Grinder,2023-04-17,North,Inactive
M115,Furnace,2023-11-15,West,Inactive
M116,Grinder,2023-02-28,South,Active
M117,Mixer,2024-09-22,West,Active
M118,Mixer,2025-05-22,West,Inactive
M119,CNC-Machine,2023-12-27,North,Inactive
M120,Laser Cutter,2023-11-19,West,Inactive
M121,Lathe,2023-09-29,South,Active
M122,3D Print,2024-11-18,North,Inactive
M123,Welder,2023-01-11,East,Inactive
M124,3D Print,2025-07-06,South,Active
M125,Welder,2023-03-07,West,Inactive
M126,Pump,2024-01-13,East,Active
M127,CNC-Machine,2024-08-04,West,Inactive
M128,Drill,2025-06-25,East,Active
M129,Laser Cutter,2022-10-14,South,Active
M130,Lathe,2024-06-12,South,Inactive
M131,CNC-Machine,2025-03-30,East,Inactive
M132,Press,2023-03-22,South,Inactive
M133,Drill,2025-02-10,North,Active
M134,Grinder,2023-05-11,West,Inactive
M135,CNC-Machine,2023-02-01,East,Inactive
M136,Pump,2025-06-06,South,Inactive
M137,Mixer,2024-07-14,West,Inactive
M138,Press,2024-01-30,North,Active
M139,Press,2023-04-03,South,Active
M140,Conveyor,2023-05-20,South,Active
M141,Pump,2024-01-25,West,Inactive
M142,Mixer,2023-12-08,West,Active
M143,3D Print,2023-08-19,South,Active
M144,3D Print,2024-02-20,East,Inactive
M145,Packaging Unit,2023-10-23,South,Active
M146,Pump,2024-05-20,West,Active
M147,3D Print,2023-02-17,East,Inactive
M148,Grinder,2024-01-09,East,Inactive
M149,Packaging Unit,2022-12-05,North,Active
M150,Pump,2024-03-05,East,Inactive
M151,Laser Cutter,2022-09-20,North,Inactive
M152,Packaging Unit,2022-08-10,East,Active
M153,Grinder,2023-10-03,South,Inactive
M154,3D Print,2024-02-27,East,Inactive
M155,3D Print,2023-07-23,East,Inactive
M156,Packaging Unit,2022-11-28,West,Active
M157,Compressor,2023-10-10,South,Inactive
M158,Press,2024-07-03,West,Active
M159,Drill,2023-04-20,East,Active
M160,Pump,2024-07-29,South,Inactive
M161,Grinder,2023-08-11,North,Inactive
M162,Lathe,2022-10-21,North,Inactive
M163,3D Print,2025-01-08,West,Inactive
M164,Laser Cutter,2024-04-09,East,Active
M165,Press,2022-09-04,East,Active
M166,Lathe,2025-01-19,South,Inactive
M167,Drill,2024-05-21,East,Inactive
M168,Compressor,2024-05-04,West,Inactive
M169,Compressor,2023-12-10,South,Active
M170,Drill,2023-06-17,North,Inactive
M171,Mixer,2025-02-19,South,Active
M172,Lathe,2022-09-20,South,Inactive
M173,Laser Cutter,2024-02-10,East,Inactive
M174,3D Print,2022-07-30,West,Active
M175,CNC-Machine,2022-11-22,West,Active
M176,Furnace,2025-01-01,West,Active
M177,Welder,2023-09-09,East,Active
M178,Pump,2023-01-14,South,Inactive
M179,CNC-Machine,2024-11-04,North,Active
M180,Pump,2023-08-27,South,Active
M181,Pump,2023-05-13,West,Inactive
M182,Press,2024-07-23,North,Inactive
M183,Drill,2025-05-09,West,Active
M184,Laser Cutter,2024-03-24,North,Active
M185,Conveyor,2024-02-08,West,Inactive
M186,Press,2025-05-15,West,Active
M187,Mixer,2023-07-02,North,Active
M188,Pump,2024-08-31,East,Inactive
M189,Compressor,2023-11-15,North,Active
M190,Packaging Unit,2023-01-19,South,Inactive
M191,3D Print,2024-12-14,South,Active
M192,CNC-Machine,2023-12-04,West,Active
M193,Packaging Unit,2024-07-15,South,Active
M194,Press,2024-09-28,South,Inactive
M195,Mixer,2024-01-03,South,Active
M196,Drill,2023-07-26,West,Active
M197,Furnace,2023-01-26,East,Active
M198,Conveyor,2024-05-23,North,Inactive
M199,Mixer,2024-06-20,West,Inactive
M200,Welder,2025-03-31,North,Inactive
M201,Compressor,2023-09-05,East,Inactive
M202,Welder,2025-04-03,East,Inactive
M203,Mixer,2023-06-20,East,Active
M204,Drill,2023-07-09,North,Active
M205,Laser Cutter,2023-08-08,East,Inactive
M206,Laser Cutter,2023-07-11,South,Active
M207,Packaging Unit,2023-05-25,North,Inactive
M208,Furnace,2024-11-28,West,Active
M209,Lathe,2023-01-07,West,Inactive
M210,Compressor,2024-11-01,South,Inactive
M211,Pump,2022-11-17,East,Active
M212,Furnace,2024-04-26,North,Active
M213,Furnace,2024-01-26,North,Active
M214,Welder,2024-02-24,North,Active
M215,Drill,2023-11-23,South,Active
M216,Grinder,2024-03-22,West,Inactive
M217,Mixer,2025-06-07,East,Active
M218,Grinder,2023-12-03,South,Active
M219,Press,2023-10-22,North,Inactive
M220,Mixer,2022-12-23,South,Inactive
M221,CNC-Machine,2023-09-27,East,Active
M222,Press,2025-05-23,East,Inactive
M223,CNC-Machine,2022-10-17,North,Active
M224,Furnace,2024-08-15,West,Inactive
M225,Furnace,2022-08-24,West,Inactive
M226,Compressor,2023-10-08,North,Active
M227,Grinder,2023-07-04,South,Inactive
M228,Lathe,2025-07-11,South,Active
M229,Conveyor,2022-10-25,East,Active
M230,Pump,2024-12-01,West,Active
M231,Press,2023-06-29,North,Active
M232,Packaging Unit,2022-09-04,West,Inactive
M233,Laser Cutter,2023-03-24,North,Inactive
M234,CNC-Machine,2024-09-30,East,Inactive
M235,Press,2025-03-23,East,Active
M236,Packaging Unit,2024-07-25,South,Active
M237,Conveyor,2023-05-29,South,Active
M238,Pump,2022-11-14,South,Inactive
M239,Compressor,2022-09-12,East,Inactive
M240,Drill,2024-12-16,South,Active
M241,Press,2022-08-15,East,Inactive
M242,3D Print,2025-05-10,West,Active
M243,Conveyor,2022-09-01,East,Inactive
M244,Welder,2025-01-21,West,Inactive
M245,Welder,2022-10-05,West,Active
M246,Mixer,2023-05-17,East,Inactive
M247,Press,2023-03-12,North,Inactive
M248,Grinder,2025-04-27,East,Inactive
M249,CNC-Machine,2023-06-09,West,Inactive
M250,Drill,2025-05-20,South,Active
M251,3D Print,2024-03-05,West,Active
M252,Packaging Unit,2023-11-30,East,Active
M253,Conveyor,2023-02-10,East,Inactive
M254,Pump,2025-04-23,West,Inactive
M255,Conveyor,2024-10-23,East,Inactive
M256,Welder,2023-08-25,South,Inactive
M257,Lathe,2022-11-23,West,Active
M258,Furnace,2023-04-10,North,Inactive
M259,Pump,2023-05-26,East,Active
M260,Press,2023-04-21,East,Active
M261,Pump,2024-06-27,West,Inactive
M262,3D Print,2023-07-14,West,Inactive
M263,Mixer,2025-02-09,East,Active
M264,Lathe,2023-03-26,West,Active
M265,Mixer,2024-09-19,North,Active
M266,Mixer,2024-11-26,North,Active
M267,Compressor,2023-04-09,East,Active
M268,Press,2023-12-17,West,Active
M269,Packaging Unit,2022-08-27,South,Active
M270,Mixer,2022-08-09,South,Active
