call_id,date,technician_id,machine_id,issue_type,duration_hours
C00001,2023-06-06,T829,M4143,Mechanical Failure,6.53
C00002,2023-05-15,T574,M1554,Inspection,4.11
C00003,2023-12-30,T016,M4224,Calibration,1.23
C00004,2023-09-03,T281,M995,Sensor Replacement,1.17
C00005,2023-01-07,T407,M2081,Mechanical Failure,0.3
C00006,2023-03-18,T613,M4564,Mechanical Failure,0.02
C00007,2024-04-20,T316,M2030,Inspection,1.7
C00008,2023-06-04,T994,M191,Mechanical Failure,3.31
C00009,2024-03-21,T617,M354,Software Update,0.81
C00010,2024-03-27,T200,M3891,Calibration,4.02
C00011,2023-10-11,T827,M143,Inspection,1.8
C00012,2023-05-23,T803,M3198,Software Update,0.34
C00013,2024-06-26,T270,M2137,Sensor Replacement,2.01
C00014,2024-05-21,T169,M4049,Sensor Replacement,2.35
C00015,2023-03-23,T567,M1488,Calibration,3.58
C00016,2023-02-11,T990,M3058,Software Update,10.01
C00017,2023-11-23,T827,M4893,Inspection,0.02
C00018,2023-11-06,T269,M2238,Software Update,0.26
C00019,2024-04-16,T473,M612,Calibration,2.16
C00020,2024-05-11,T790,M4956,Sensor Replacement,1.15
C00021,2023-03-30,T480,M1592,Inspection,8.94
C00022,2023-04-01,T217,M1276,Emergency Repair,2.67
C00023,2023-02-10,T842,M3753,Mechanical Failure,6.7
C00024,2024-04-19,T032,M295,Software Update,0.46
C00025,2024-05-22,T327,M3137,Sensor Replacement,1.96
C00026,2023-09-07,T268,M3638,Mechanical Failure,1.38
C00027,2023-03-03,T135,M3863,Mechanical Failure,0.75
C00028,2023-09-04,T520,M1393,Routine Maintenance,2.11
C00029,2024-04-15,T670,M1308,Emergency Repair,2.27
C00030,2023-03-16,T862,M3531,Calibration,1.04
C00031,2023-07-10,T718,M4809,Routine Maintenance,3.22
C00032,2023-08-10,T882,M812,Inspection,1.06
C00033,2024-03-12,T113,M4113,Mechanical Failure,0.32
C00034,2023-05-28,T875,M1214,Calibration,1.42
C00035,2023-09-10,T482,M401,Emergency Repair,1.32
C00036,2023-01-30,T214,M2770,Sensor Replacement,6.38
C00037,2023-06-10,T737,M1094,Calibration,1.01
C00038,2023-08-31,T313,M571,Software Update,7.91
C00039,2023-04-07,T523,M2178,Electrical Fault,1.19
C00040,2023-04-30,T342,M4196,Mechanical Failure,1.45
C00041,2023-05-15,T677,M4156,Software Update,3.19
C00042,2023-02-26,T553,M1370,Emergency Repair,15.6
C00043,2023-08-01,T199,M057,Inspection,2.1
C00044,2024-03-09,T447,M4080,Calibration,0.42
C00045,2023-02-23,T447,M1165,Calibration,2.11
C00046,2023-11-26,T167,M1444,Electrical Fault,0.59
C00047,2023-03-30,T323,M1051,Routine Maintenance,3.42
C00048,2023-01-11,T683,M2104,Electrical Fault,0.81
C00049,2024-04-05,T719,M2567,Software Update,1.11
C00050,2023-02-08,T384,M2394,Emergency Repair,0.04
C00051,2023-05-31,T889,M3353,Electrical Fault,5.01
C00052,2023-02-02,T845,M2790,Calibration,3.11
C00053,2023-02-20,T281,M3148,Sensor Replacement,2.39
C00054,2023-08-22,T209,M4267,Emergency Repair,0.84
C00055,2024-03-14,T313,M954,Sensor Replacement,1.17
C00056,2023-03-07,T1000,M463,Emergency Repair,0.78
C00057,2023-08-03,T587,M3174,Emergency Repair,5.65
